brand_name,parent_company_name,year,item_description,type_product,type_material,layer,volunteer,start_of_audit,end_of_audit,time_spent,city,province,country,continent,type_of_audit,specifics_of_audit,event_total_count,longitude_most_specific,latitude_most_specific,location_specificity,total_count,proportion
Unknown,suntory,2020,bottle caps,food packaging,pp,single-layer,1.0,2020-09-27,2020-09-27,2.0,san diego,california,united states of america,north america,outdoor,coastal,145,-117.1627728,32.7174202,city,16,0.110344827586207
Unknown,suntory,2020,broken plastic toy shovel/sand sifter,household products,o,single-layer,1.0,2020-09-27,2020-09-27,2.0,san diego,california,united states of america,north america,outdoor,coastal,145,-117.1627728,32.7174202,city,1,0.0068965517241379
Unknown,suntory,2020,child's sparkling sunglass arm,household products,o,single-layer,1.0,2020-09-27,2020-09-27,2.0,san diego,california,united states of america,north america,outdoor,coastal,145,-117.1627728,32.7174202,city,1,0.0068965517241379
Unknown,suntory,2020,cigarette butts,smoking materials,o,unsure,1.0,2020-09-27,2020-09-27,2.0,san diego,california,united states of america,north america,outdoor,coastal,145,-117.1627728,32.7174202,city,11,0.0758620689655172
Unknown,suntory,2020,disposable flosser,personal care,o,unsure,1.0,2020-09-27,2020-09-27,2.0,san diego,california,united states of america,north america,outdoor,coastal,145,-117.1627728,32.7174202,city,1,0.0068965517241379
Unknown,suntory,2020,eps polstyrene pieces,other,hdpe,single-layer,1.0,2020-09-27,2020-09-27,2.0,san diego,california,united states of america,north america,outdoor,coastal,145,-117.1627728,32.7174202,city,21,0.144827586206897
Unknown,suntory,2020,green/yellow/clear cellophane chewing gum packaging,food packaging,pp,single-layer,1.0,2020-09-27,2020-09-27,2.0,san diego,california,united states of america,north america,outdoor,coastal,145,-117.1627728,32.7174202,city,1,0.0068965517241379
Unknown,suntory,2020,light blue and white disposable face masks,personal care,pp,multi-layer,1.0,2020-09-27,2020-09-27,2.0,san diego,california,united states of america,north america,outdoor,coastal,145,-117.1627728,32.7174202,city,2,0.0137931034482759
Unknown,suntory,2020,misc. black yogurt shaped container or packaging material,food packaging,pp,single-layer,1.0,2020-09-27,2020-09-27,2.0,san diego,california,united states of america,north america,outdoor,coastal,145,-117.1627728,32.7174202,city,1,0.0068965517241379
Unknown,suntory,2020,nicotine gum packaging,personal care,o,unsure,1.0,2020-09-27,2020-09-27,2.0,san diego,california,united states of america,north america,outdoor,coastal,145,-117.1627728,32.7174202,city,1,0.0068965517241379
Unknown,suntory,2020,oblong bubble  flask and lid w/ bubble wand and soapy water,household products,o,single-layer,1.0,2020-09-27,2020-09-27,2.0,san diego,california,united states of america,north america,outdoor,coastal,145,-117.1627728,32.7174202,city,1,0.0068965517241379
